"entrez_symbol","driver_mechanism","label"
"NRG1","GoF","NRG1 GoF"
"NRK","GoF","NRK GoF"
"NRP1","LoF","NRP1 LoF"
"NSD1","GoF","NSD1 GoF"
"NT5C3A","LoF","NT5C3A LoF"
"NTRK1","GoF","NTRK1 GoF"
"NTRK3","GoF","NTRK3 GoF"
"NUMA1","GoF","NUMA1 GoF"
"NUP214","GoF","NUP214 GoF"
"NXF1","GoF","NXF1 GoF"
"P2RY8","GoF","P2RY8 GoF"
"PAK2","GoF","PAK2 GoF"
"PBRM1","LoF","PBRM1 LoF"
"PCBP1","GoF","PCBP1 GoF"
"PCDH17","LoF","PCDH17 LoF"
"PCMTD1","LoF","PCMTD1 LoF"
"PDCD1LG2","GoF","PDCD1LG2 GoF"
"PDE4DIP","GoF","PDE4DIP GoF"
"PDGFRA","GoF","PDGFRA GoF"
"PDGFRB","GoF","PDGFRB GoF"
"PEG3","GoF","PEG3 GoF"
"PHF6","LoF","PHF6 LoF"
"PIK3CA","GoF","PIK3CA GoF"
"PIK3CB","GoF","PIK3CB GoF"
"PIK3R1","LoF","PIK3R1 LoF"
"PIM1","LoF","PIM1 LoF"
"PLAG1","GoF","PLAG1 GoF"
"PLCB4","GoF","PLCB4 GoF"
"PLCG1","GoF","PLCG1 GoF"
"PML","LoF","PML LoF"
"PMS2","LoF","PMS2 LoF"
"POLD1","GoF","POLD1 GoF"
"PPM1D","LoF","PPM1D LoF"
"PPP2R1A","GoF","PPP2R1A GoF"
"PPP3CA","LoF","PPP3CA LoF"
"PPP6C","LoF","PPP6C LoF"
"PPT2","GoF","PPT2 GoF"
"PRDM1","LoF","PRDM1 LoF"
"PREX2","GoF","PREX2 GoF"
"PRF1","LoF","PRF1 LoF"
"PRKAR1A","LoF","PRKAR1A LoF"
"PRKCB","GoF","PRKCB GoF"
"PRKCD","LoF","PRKCD LoF"
"PRR14","LoF","PRR14 LoF"
"PRRX1","GoF","PRRX1 GoF"
"PSIP1","GoF","PSIP1 GoF"
"PTCH1","LoF","PTCH1 LoF"
"PTEN","LoF","PTEN LoF"
"PTMA","LoF","PTMA LoF"
"PTPN11","GoF","PTPN11 GoF"
"PTPN13","LoF","PTPN13 LoF"
"PTPN14","LoF","PTPN14 LoF"
"PTPN6","LoF","PTPN6 LoF"
"PTPRC","GoF","PTPRC GoF"
"PTPRD","GoF","PTPRD GoF"
"PTPRK","LoF","PTPRK LoF"
"PTPRT","LoF","PTPRT LoF"
"QKI","LoF","QKI LoF"
"RABEP1","LoF","RABEP1 LoF"
"RAC1","GoF","RAC1 GoF"
"RAD21","LoF","RAD21 LoF"
"RAF1","GoF","RAF1 GoF"
"RALGDS","GoF","RALGDS GoF"
"RANBP2","LoF","RANBP2 LoF"
"RAP1GDS1","GoF","RAP1GDS1 GoF"
"RARA","GoF","RARA GoF"
"RASA1","LoF","RASA1 LoF"
"RASA2","LoF","RASA2 LoF"
"RB1","LoF","RB1 LoF"
"RBFOX1","GoF","RBFOX1 GoF"
"RBFOX2","GoF","RBFOX2 GoF"
"RBM10","LoF","RBM10 LoF"
"RBM15","LoF","RBM15 LoF"
"RBM39","GoF","RBM39 GoF"
"RECQL4","LoF","RECQL4 LoF"
"RELA","GoF","RELA GoF"
"RET","GoF","RET GoF"
"RGL3","GoF","RGL3 GoF"
"RGS7","LoF","RGS7 LoF"
"RHOA","GoF","RHOA GoF"
"RNF213","GoF","RNF213 GoF"
"RNF43","LoF","RNF43 LoF"
"RNF6","LoF","RNF6 LoF"
"RPL10","LoF","RPL10 LoF"
"RPL22","GoF","RPL22 GoF"
"RPS6KA3","LoF","RPS6KA3 LoF"
"RRAGC","GoF","RRAGC GoF"
"RRAS2","GoF","RRAS2 GoF"
"RXRA","LoF","RXRA LoF"
"SALL4","GoF","SALL4 GoF"
"SATB1","GoF","SATB1 GoF"
"SDC4","LoF","SDC4 LoF"
"SEPT9","GoF","SEPT9 GoF"
"SET","GoF","SET GoF"
"SETBP1","GoF","SETBP1 GoF"
"SETD1B","LoF","SETD1B LoF"
"SETD2","LoF","SETD2 LoF"
"SETDB1","GoF","SETDB1 GoF"
"SF3B1","GoF","SF3B1 GoF"
"SFMBT2","GoF","SFMBT2 GoF"
"SIN3A","GoF","SIN3A GoF"
"SIRPA","LoF","SIRPA LoF"
"SIX1","LoF","SIX1 LoF"
"SLC45A3","LoF","SLC45A3 LoF"
"SMAD2","LoF","SMAD2 LoF"
"SMAD3","LoF","SMAD3 LoF"
"SMAD4","LoF","SMAD4 LoF"
"SMARCA1","LoF","SMARCA1 LoF"
"SMARCA4","LoF","SMARCA4 LoF"
"SMARCB1","LoF","SMARCB1 LoF"
"SMC1A","GoF","SMC1A GoF"
"SMO","GoF","SMO GoF"
"SOCS1","LoF","SOCS1 LoF"
"SOHLH2","GoF","SOHLH2 GoF"
"SOS1","GoF","SOS1 GoF"
"SOX17","GoF","SOX17 GoF"
"SOX21","LoF","SOX21 LoF"
"SOX9","LoF","SOX9 LoF"
"SPOP","GoF","SPOP GoF"
"SRGAP3","GoF","SRGAP3 GoF"
"SRSF2","GoF","SRSF2 GoF"
"STAG2","LoF","STAG2 LoF"
"STAT6","GoF","STAT6 GoF"
"STK11","LoF","STK11 LoF"
"SUSD2","GoF","SUSD2 GoF"
"SUZ12","GoF","SUZ12 GoF"
"TBL1XR1","LoF","TBL1XR1 LoF"
"TBX3","LoF","TBX3 LoF"
"TCF4","GoF","TCF4 GoF"
"TCF7L2","GoF","TCF7L2 GoF"
"TCIRG1","LoF","TCIRG1 LoF"
"TEC","LoF","TEC LoF"
"TET2","LoF","TET2 LoF"
"TFAP4","LoF","TFAP4 LoF"
"TFG","LoF","TFG LoF"
"TGFBR2","LoF","TGFBR2 LoF"
"TGIF1","LoF","TGIF1 LoF"
"TLL1","GoF","TLL1 GoF"
"TNFAIP3","LoF","TNFAIP3 LoF"
"TNFRSF14","LoF","TNFRSF14 LoF"
"TOP1","LoF","TOP1 LoF"
"TOP2A","GoF","TOP2A GoF"
"TP53","LoF","TP53 LoF"
"TRAF3","LoF","TRAF3 LoF"
"TRIM24","GoF","TRIM24 GoF"
"TRIM49C","GoF","TRIM49C GoF"
"TRIP11","GoF","TRIP11 GoF"
"TSC1","LoF","TSC1 LoF"
"TSC2","LoF","TSC2 LoF"
"U2AF1","GoF","U2AF1 GoF"
"U2AF2","GoF","U2AF2 GoF"
"UBE2A","LoF","UBE2A LoF"
"UBE2D2","GoF","UBE2D2 GoF"
"UGT2B17","GoF","UGT2B17 GoF"
"USP44","LoF","USP44 LoF"
"USP6","GoF","USP6 GoF"
"USP9X","LoF","USP9X LoF"
"VAV1","GoF","VAV1 GoF"
"VHL","LoF","VHL LoF"
"WAS","LoF","WAS LoF"
"WDR45","LoF","WDR45 LoF"
"WRN","LoF","WRN LoF"
"WT1","LoF","WT1 LoF"
"XPC","LoF","XPC LoF"
"XPO1","GoF","XPO1 GoF"
"ZBTB20","GoF","ZBTB20 GoF"
"ZBTB7B","GoF","ZBTB7B GoF"
"ZCRB1","LoF","ZCRB1 LoF"
"ZEB1","LoF","ZEB1 LoF"
"ZFHX3","LoF","ZFHX3 LoF"
"ZFP36L1","LoF","ZFP36L1 LoF"
"ZFX","LoF","ZFX LoF"
"ZNF148","GoF","ZNF148 GoF"
"ZNF165","LoF","ZNF165 LoF"
"ZNF429","LoF","ZNF429 LoF"
"ZNF521","GoF","ZNF521 GoF"
"ZNF780A","GoF","ZNF780A GoF"
"ZNF814","GoF","ZNF814 GoF"
"ZNF93","LoF","ZNF93 LoF"
"ZNRF3","LoF","ZNRF3 LoF"
"ZRSR2","LoF","ZRSR2 LoF"
"ZXDB","LoF","ZXDB LoF"
