"from","to","driver_mechanism","relationship","LINK_FUNCTION"
"RPL10 LoF","RPL10","LoF","inhibits",-1
"RPL22 GoF","RPL22","GoF","activates",1
"RPS6KA3 LoF","RPS6KA3","LoF","inhibits",-1
"RRAGC GoF","RRAGC","GoF","activates",1
"RRAS2 GoF","RRAS2","GoF","activates",1
"RXRA LoF","RXRA","LoF","inhibits",-1
"SALL4 GoF","SALL4","GoF","activates",1
"SATB1 GoF","SATB1","GoF","activates",1
"SDC4 LoF","SDC4","LoF","inhibits",-1
"SEPT9 GoF","SEPT9","GoF","activates",1
"SET GoF","SET","GoF","activates",1
"SETBP1 GoF","SETBP1","GoF","activates",1
"SETD1B LoF","SETD1B","LoF","inhibits",-1
"SETD2 LoF","SETD2","LoF","inhibits",-1
"SETDB1 GoF","SETDB1","GoF","activates",1
"SF3B1 GoF","SF3B1","GoF","activates",1
"SFMBT2 GoF","SFMBT2","GoF","activates",1
"SIN3A GoF","SIN3A","GoF","activates",1
"SIRPA LoF","SIRPA","LoF","inhibits",-1
"SIX1 LoF","SIX1","LoF","inhibits",-1
"SLC45A3 LoF","SLC45A3","LoF","inhibits",-1
"SMAD2 LoF","SMAD2","LoF","inhibits",-1
"SMAD3 LoF","SMAD3","LoF","inhibits",-1
"SMAD4 LoF","SMAD4","LoF","inhibits",-1
"SMARCA1 LoF","SMARCA1","LoF","inhibits",-1
"SMARCA4 LoF","SMARCA4","LoF","inhibits",-1
"SMARCB1 LoF","SMARCB1","LoF","inhibits",-1
"SMC1A GoF","SMC1A","GoF","activates",1
"SMO GoF","SMO","GoF","activates",1
"SOCS1 LoF","SOCS1","LoF","inhibits",-1
"SOHLH2 GoF","SOHLH2","GoF","activates",1
"SOS1 GoF","SOS1","GoF","activates",1
"SOX17 GoF","SOX17","GoF","activates",1
"SOX21 LoF","SOX21","LoF","inhibits",-1
"SOX9 LoF","SOX9","LoF","inhibits",-1
"SPOP GoF","SPOP","GoF","activates",1
"SRGAP3 GoF","SRGAP3","GoF","activates",1
"SRSF2 GoF","SRSF2","GoF","activates",1
"STAG2 LoF","STAG2","LoF","inhibits",-1
"STAT6 GoF","STAT6","GoF","activates",1
"STK11 LoF","STK11","LoF","inhibits",-1
"SUSD2 GoF","SUSD2","GoF","activates",1
"SUZ12 GoF","SUZ12","GoF","activates",1
"TBL1XR1 LoF","TBL1XR1","LoF","inhibits",-1
"TBX3 LoF","TBX3","LoF","inhibits",-1
"TCF4 GoF","TCF4","GoF","activates",1
"TCF7L2 GoF","TCF7L2","GoF","activates",1
"TCIRG1 LoF","TCIRG1","LoF","inhibits",-1
"TEC LoF","TEC","LoF","inhibits",-1
"TET2 LoF","TET2","LoF","inhibits",-1
"TFAP4 LoF","TFAP4","LoF","inhibits",-1
"TFG LoF","TFG","LoF","inhibits",-1
"TGFBR2 LoF","TGFBR2","LoF","inhibits",-1
"TGIF1 LoF","TGIF1","LoF","inhibits",-1
"TLL1 GoF","TLL1","GoF","activates",1
"TNFAIP3 LoF","TNFAIP3","LoF","inhibits",-1
"TNFRSF14 LoF","TNFRSF14","LoF","inhibits",-1
"TOP1 LoF","TOP1","LoF","inhibits",-1
"TOP2A GoF","TOP2A","GoF","activates",1
"TP53 LoF","TP53","LoF","inhibits",-1
"TRAF3 LoF","TRAF3","LoF","inhibits",-1
"TRIM24 GoF","TRIM24","GoF","activates",1
"TRIM49C GoF","TRIM49C","GoF","activates",1
"TRIP11 GoF","TRIP11","GoF","activates",1
"TSC1 LoF","TSC1","LoF","inhibits",-1
"TSC2 LoF","TSC2","LoF","inhibits",-1
"U2AF1 GoF","U2AF1","GoF","activates",1
"U2AF2 GoF","U2AF2","GoF","activates",1
"UBE2A LoF","UBE2A","LoF","inhibits",-1
